headline,content,response,star
Best Frozen Margarita in Key West !,"the frozen margaritas are the BEST in Key West. I made at least one trip to Sloppy Joe's each day just to get a margarita (or two). Had lunch there one day and tried ""the Sloppy Joe Sandwich"". Not a big a big sloopy joe...More",NA,4.5
"Large, open, airy....and busy","We where in there early afternoon. Very busy...even at 2 o' clock. Service was slow. The singer was great though. They have some good line ups for entertainment. High quality stuff. Full bar. Very popular. Also, this is not the original sloppy joe sandwich place...in...More",NA,4.5
Got out quick!,"One of the worst - no THE WORST place we went into during our USA tour!
Crude, rude, poor live entertainment - especially as there were loads of young children in there! Terrible food - got out as quick as we could!",NA,4.5
Drop in,"Six of us dropped in for a historical visit to sloppy Joe's.  We got to sit at the front bar where there were 6 to 7 chairs and Rahm took care of us.  We had a great experience.  Ate  dinner, had a few drinks and...More",NA,4
Great location,This is a staple of Key west. This place is usually full and you need to find your own seats. They have live music all the time so it makes it a great place to hang out especially on a hot day.,NA,4.5
Kenny,Great place to unwind. Live music all day and really friendly staff. Don't miss this party place! One for the bucket list!,NA,3
Conch fritters👎,"I know most people go there for the atmosphere and the drinks, but the conch fritters are guaranteed the worlds worst!",NA,5
Great Bar!,"This is such a fun place! Great live entertainment, friendly bar service, yummy drinks and a cool little gift shop!",NA,4.5
Must visit!,"Loud, and just what you would expect!  Live music and Icy cold drinks.  Great place to start the crawl.  You can't drink all day if you don't start in the morning!",NA,4
Great time!,"We had great food here.  Drinks were good - pricey, as is any place like this, but hey, it's vacation!  Entertainment was high quality (not kid friendly - but it IS a bar).  I have to give top kudos to our server.  The place was...More",NA,4.5
Great spot ,Great spot to stop and have a cold one. Staff friendly and good music. Defiantly a must stop when visiting the keys.,NA,4.5
"Live Music, Great Service, Good Food!",Sloppy Joe's is a Key West tradition for a reason. We ordered several appetizers and drinks and were happy with everything - the smoked fish dip and sloppy joe nachos were particular favorites. Definitely recommend!,NA,4.5
A Key West must!,"If you are a first time visitor of Key West, Sloppy Joes should be on your list. It really is a Key West tradition. The food is very good, and from a guy who normally doesn't care much for an actual sloppy joe sandwich, I...More",NA,4.5
Sloppy Joe's Bar Key West,"The famous Sloppy Joe's Bar!! What can one say? It should be on your list.  Live music every day, the food is good and plentiful.  The last time I was here (several years ago) I had the pleasure of meeting Dale Earnhardt Jr and Casey...More",NA,4.5
Our Favorite Bar in Key West!,"We stumbled into this bar on Saturday night after seeing a Drag Queen show (also recommended), and they had a live bar playing and the place was packed. We made friends with the one bartender and she told us all the must see places we...More",NA,4
"Fun, music, good food and drinks ",It's a fun must go bar when visiting Key West.  Always a good band.  Must try the conch chowder.  Drinks are well poured and beer is cold.,NA,4.5
Good as usual,The is a Key West standard.  It's always busy bit also very good.  Nothing outstanding except the history but worth a visit every trip.,NA,3
Fun as usual!,"We visited Key West 8/8/17 and had to make a stop at Sloppy Joe's. Food is good but the atmosphere is great!! Always good entertainment and the servers are first class. That means friendly, fun and attentive!! A must stop if in Key West.",NA,5
Love the vibe and ask for Beverly,"Love love love. Love live music, great food and great Bartender, ask for Beverly.  Friendly for family and couples. Lots to see and good choices for on the menu.  Sloppy Joes are my favorite there.  Corn bread with melted cheese was really good too!",NA,4.5
Have to check it out,Loved Sloppy Joes. Two grand bands played the evening we were there. It was great once it turned to 21 and over at 10pm. Dance floor opens up.,NA,4
We had a blast!,"Fantastic night out at the legendary Sloppy Joe's! Fabulous atmosphere, great food and drink, excellent service, terrific live music. What's not to like about this amazing bar chock full of associations and history? Can't wait to go back!",NA,4.5
" Good food, decent prices","Menu was good, but not extraordinary. Was a great place for casual dining after walking downtown Key West. Live music makes it fun.",NA,4.5
Pre anniversary trip,I enjoyed sloppy joes. Good food as usually great service   Live music was good as well for lunch  BBQ chicken wrap was plenty. Couldn't finish it all. The wings and Cajun fire were good as well. The food selection is a variety something for everyone,NA,4.5
Atmosphere!,"We were in Key West on a cruise, cloudy day. We walked around, took the train tour, but the highlight was our visit to Sloppy Joe's! Fun atmosphere, friendly staff. Delicious drinks! A great place to spend some time on Key West....",NA,4.5
Late lunch Monday,"You have to go to Sloppy Joe's when in Key West for Key Lime Shooters.  We also had their new special frozen drink, while the guys just had beers.  After a few drinks we decided to have a sandwich there.  There drinks are excellent, food...More",NA,4.5
A Must Try,"While in Key West and on Duval St. you owe it to yourself to try Sloppy Joe's. It has an entertaining club like atmosphere.  The food is good and so is the live music.  At times it may be tough to get a table, it...More",NA,4
You have to see it!,"Sloppy Joe's is truly one of the sights you should plan on seeing on your visit to Key West. It is a very unique bar with music, great food and drinks and a staff that is ""native"" and exceptional. As soon as you are seated,...More",NA,4.5
Time to let loose....,"Place is open and big the drinks and food were great the atmosphere was great a place for you to relax and enjoy I was there with family this time, I stopped there all of the times I am in the Keys one of my...More",NA,3
Beer after dark,"We came here 3 buddies, there was lots of people but we got some seats by the bar. The live music was excellent and we really had a good night.",NA,5
Lively bar!!,"Probably the best bar in Key West! Full of history, vibrant and great live music. We also ate there I had the pulled park barbecue sandwich and it was delicious.",NA,4.5
A fun venue for afternoon fun!,"A rainy day in Key West had me google ""what to do in Key West on a rainy day.""  The answer....""eat and drink.""  So that's what we did.  We went to Sloppy Joe's and had a great time with good drinks, pub food and a...More",NA,4
great place,"great food and live music, cold drinks, we would go there again. very comfortable atmosphere, kick back and relax ,",NA,4.5
Fun Place,"Live music old style saloon place with a good crowd and very good food , fun place to people watch and listen to music .",NA,4.5
Drinks and Key Lime Pie,"Had to visit here!

Excellent waitress service very friendly.

Great atmosphere with live music.

Suitable for all ages.

Nice gift shop.

Nice Key Lime pie.

Would recommend.",NA,4.5
Good bar food,Above average bar food.  Located in the heart of Key West on Duvall St.  Happening scene.  Fun atmosphere.,NA,4.5
"Great lunch, the sloppy Joe's are not what you grow up eating!","Great Food and Service in a very crowded restaurant!  No A/C all open eating, it was quite warm when we visited in October.  The food was great and we were stuffed and satisfied.  I personally would not order the Sloppy Joe's again but I'd definitely...More",NA,4.5
Fun and bar staff super nice,Stopped in with a large group of 20 people and Jen at the bar was super nice and accommodating. She took care of us and we took care of her. We got her to ring the bell lol,NA,4
Something everyone has to at least go into. ,we went because everyone has to at least walk in. Very busy. Food was good and came out fast. Just a famous bar.,NA,4.5
Not great,After going to the Sloppy Joes in Tresure Island this place was a huge disappointment. The food was terrible. The entertainment was good but too many other places to go for good food and entertainment,NA,3
Tourist thing to do,"Just your average bar food
The piano player was very good
Service was very good 
Just a popular tourist bar but I would say it's a must see",NA,5
Good Sloppy Joes,"Good sloppy joes - as one would hope as it bills itself as the home of the original sloppy joe.The entertainment was not exactly family-friendly and not for all tastes, however. I guess we missed the memo when we walked in. 

The waitress neglected to...More",NA,4.5
Live music & Sloppy Joes!!!,The live music was awesome!! The Sloppy Joe's are great & drinks are great!  Service was excellent!  We will surely be back!!,NA,4
Fantastic!,"Great food, fast and friendly service, reasonable prices. Around 10 they kick people out of tables to open up a dance floor.  Then it gets loud! But loved it both times we were here!",NA,4.5
Fun bar,Great music and fun atmosphere! Live music is great and friendly bartenders. We did not eat here but a must see if you into the bar scene and want a good party.,NA,4.5
Typical bar food; good music,Burgers are great and the drinks are plentiful.  At night they have live bands that rotate about every 90 minutes and the atmosphere is very festive.,NA,4.5
Cool tourist place,Cool bar. Very crowded. Middle of the day. Serves food but we just had beers. Staff very friendly and attentive. Bought t shirts. Typical tourist stuff,NA,4.5
Not great,"Came in for a quick bite to eat. Food overpriced, my husband said he's had a better burger out if a machine. Not much food for price.  Live band so loud you can't even talk during dinner. More if a bar I'd say... Won't be...More",NA,4.5
Getting sloppy,"Waitress was friendly and provides good service. There was a live band performing. Portions are good sized. We  had the sloppy joes, crab cakes sandwiches, many sandwich and buffalo chicken wrap.   Each person was happy with their selection. It was fun!",NA,4
A Key West must do,There is controversy over the oldest bar in Florida. Sloppy Joes may be the oldest in name but not location. That honor belongs to Captain Tony's. Both are worth a visit.,NA,4.5
"Been there, done that...","Always a must do for Key West visitors, fun place.  On our bar hopping outing stopped in, had a shot of tequila, listened to the live music, then on to the next bar.  Fun experience.",NA,3
Typical beach bar,"I really didn't see anything that made this place so special just another typical beach bar to me, live music was nice, blah menu and not that great frozen drinks",NA,5
Calamari,"Do Not order the calamari ! It is the worst in the world 
Years ago I had bragged how this place had the best , now it's the worst ! 
Told the waitress and she could have cared less she said "" I wouldn't know...More",NA,4.5
Love this Place!!,Not the Orginial  (both are great) but good times!! Great live music (most bars have live music in Key West). Exceptional service. Great ambience. Reasonably priced drinks. When in Key West this is a must stop for me. Like most well known bars they have...More,NA,4
Best Bar in Town,We were in Key West over a long weekend in mid-July for my besties dirty thirty Birthday. On our first night in Key West we went out to Sloppy Joe's to check out the Music. OMG...I am so happy that we did. IDT Band was...More,NA,4.5
Good food and fun atmosphere!!,We enjoyed the food and the music!  Lots of choices and lots of history from the area!  You know when you have to wait for a seat it's good!,NA,4.5
"No better 'sloppy joe' from anywhere, just like mom makes.",The music is always 'top notch' too!  It's such a lively place to eat and drink.  Alone or with a group of friends.  Dancing all day long.,NA,4.5
Iconic,"You must go to Sloppy Joe's if you go to Key West.  Have a beer and soak in the ambiance.  Don't forget to buy an overpriced t-shirt, because you will wear it and it will serve as a remembrance of your trip to Key West!...More",NA,4.5
"Dog Friendly, Sloppy Rita","Went twice during a week long stay, each time during the afternoon/early evening. Live music on a big stage! Seat yourself: plenty of seating, but crowds quickly. Dog-friendly.
You can add a test tube of rum to any drink for just $2; quickly turn over...More",NA,4.5
Always visit this wonderful place,"When we are on vacation in Key West, we always go to Sloppy Joe's. I haven't eaten here, but I do get drinks and listen to the awesome bands that place live music. Even got tshirts in the gift store. Love this bar.",NA,4
Birthday weekend,Brought my daughter to the Keys for her 31st birthday. We always ended up here. The band Big Daddy played the weekend and they were great. 2 guitar guys before them on Thursday were really raunchy and disgusting. I'm no prude but it was sick....More,NA,4.5
The classic bar,"Known for being one of Hemingway's hangouts and a place you should visit while in Key West. 

Great drinks, live music and a really fantastic party feeling place. Food is OK, but the drinks are great!",NA,3
Raunchy fun,This is a bar...house band was entertaining. Waitresses are hard working. Please tip well as they work their fannies off to make you happy. When I said I was good the waitress brought me a cup of ice water. No pressure to consume alcohol so...More,NA,5
Hemingway Look-a-like contest 2017,"A friend entered the look-a-like contest (placed in the semi-finals!) so we spent 2 days at Sloppy Joes! OK it was actually about 16 hours over the 2 days but we had a blast! The contest was fun, the food great, and the drinks awesome!...More",NA,4.5
Hemingway's Bar,Very interesting and crowded bar.  The drinks were good and the service was fast. But the food is only so-so.  But wanted to check this bar out because Hemingway used to drink there.,NA,4
YOU MUST STOP TO EAT HERE,"S0o i must say the later the better we stopped in around 830 and the place was packed, they have live bands that switch on and off with different type of music. the FOOD was amazing i had the quesadilla with sloppy joe in it.....More",NA,4.5
Great good and atmosphere!,Great food and atmosphere! Live music was playing and we sat near the stage so it was a little loud to talk but overall a lot of fun! Highly recommend to add to your Ley West bucket list.,NA,4.5
Birthday weekend,Love this place. Every time we come to Key West this is the first place we hit. Highly recommended.  The entertainment is always the best on Duval street.,NA,4.5
A must stop in Key West,"Sloppy Joe's is a true Key West destination.
If you want to bring the family, you need to be there before noon... it fills up fast and gets pretty rowdy. Try the original Sloppy Joe, it is delicious.. Also, all drinks include a generous pour.",NA,4.5
Lots of character and great food!,"Loved the atmosphere and the food! Fun live entertainment! We had great service and loved the sloppy joes and taco salad! We had no idea it was the day of the annual Ernest Hemingway Look Alike contest, so that was an added plus to our...More",NA,4.5
Large but laid back place,"Stopped in for a drink since they had live music that wasn't blasting out into the street. Our waitress was very friendly, music was good, and bathrooms were clean. Frozen run runner was pretty tasty. Even though they were packed, still got good service and...More",NA,4
MANY GREAT NIGHTS!!!,"This is a GO TOO place...music is awesome, food too...lots of fun people and priced just right...you will definitely enjoy it here.",NA,4.5
Iconic place,"A million bras hanging from the ceiling and a huge crowd drinking. That suma my experience lol I had been here many years ago and it's still the same. People come here to see this Key West iconic place, have a few drinks, take a...More",NA,3
Cosy family  cafe,Large open cafe with all kinds of visitors. Locals and tourists. Many different drinks available and of course the local cocktail specialties reasonable priced. One of the special cosy hot spots in Duval Street. Key West is one of the most nice places in the...More,NA,5
See Once,"Nice vibe. Food was just ok. Frozen Rum Runner was very good. It gets very crowded at night. Would recommend stopping once, but that was enough.",NA,4.5
Always great ! ,"Every time we come to key west, we stop in here. We've had lunch and dinner here before, and always excellent. Servers and bartenders are always nice and friendly. Food = awesome. It's a must to come in here while in key west. Entertainment has...More",NA,4
Fun times...good food,"All of our food was great,  especially the sloppy joes, and our waitress, Sue, was attentive and friendly Live music was fun. Even though it is always busy, we always have a good time.",NA,4.5
A duval standard!,"Go and experience this if you haven't. Learn the story about how the bar was literally moved overnight, and then go to capt Tony's to read about it on the walls! Key west is wonderful but duval's history is actually pretty entertaining!",NA,4.5
Just OK,My husband and I ate here while visiting Duval Street. The food was just okay. We were there around 5:30 p.m. and the band playing was terrible. I do not recommend bringing children here. I can check being here off the list but I do...More,NA,4.5
noisy,"lots of young people, & lots of drinking. had to wait for a seat at the bar. bar tender busy, not a great personality, def a tourist attraction. won't return here, so many great places in key west!",NA,4.5
Good Times ,"Great service , fun music , huge portions !!! Took food to the hotel for snacks ! Great time . Loved me some frozen margaritas lol",NA,4.5
Great Music and so much fun!,"Great music whenever we went , go lunch
After dinner...
We so enjoy Sloppy Joe's and ho every year we 
Come down to the Keys...
Great to a wick lunch too!
Thank you
We will always come back!
K Ippolito",NA,4
Same place after 36 years,I was here in 1981 and am now back after 26 years. The place remains quite the same with a lot of more tourists coming to key west so the place is quite crowded. What I do not like is beer in plastic glass but...More,NA,4.5
Great place!,If you're in Key West you must go there!  It is well known place there.  You have to order their sloppy joes.  It's their signature sandwich obviously! It's delicious!!  It's hard to get in though.  Very busy all the time.  We finally just got there...More,NA,3
Island Times,"We went two days for lunch had Havana nachos, and taco salad we shared with our spouses and drank rum runners on rocks ultra, blue moon, and margeriteas we enjoyed ourselves got full and paid less than $50 each couple",NA,5
Fun! Fun! Fun!,"Sloppy Joe's is a must do if you're in Key West! Live music, great drinks and happy people. If you're looking to have a great time stop by it's always busy!!!",NA,4.5
Crowd Entertainment,"This spot offered one of the best highlight of my trip.  Its crowded, and you have to look for your own seats, so sometimes you end up stalking a table hoping to land their seat when they leave.  The waitresses are quick, efficient, and helpful....More",NA,4
A Sloppy Experience!,"Upon my visit, I decided to drop in because I read that the Sloppy Joe sandwich originated in Key West. I put my taste buds to the test. The Sloppy Joe served was the best that I have ever had (sorry Manwich). Sloppy but very...More",NA,4.5
Nicer than I thought!,Bellied up to the bar first thing in the morning for a cool drink (Sloppy Rita) to start the day and it wasn't busy. Bartender was a nice brunette who made a pretty kids' drink and conversation with a little girl who was with another...More,NA,4.5
A Key West tradition,"You cant't come to Key West and not visit Sloppy Joes! Good range of artisan beers, great atmosphere, bands on stage in the evening, all round fun place.",NA,4.5
Skip this,This place was packed. Could not get a seat in the place. We tried just for the heck of it but it is more of a bar. Very loud crowdy.,NA,4.5
Cold Beer!,"Great way to cool off!  A/C, live entertainment and by far the coldest beer in the keys!  Our waiter was on his toes.  We never had to ask for another beer or our food.  A must visit while in Key West.",NA,4.5
An iconic tourist trap,"If you visit Key West, you have to stop at Sloppy Joe's on the corner Duval St. and Greene St.  If not to have a drink or a bite to eat, but at least to say you've been there or buy that t-shirt for yourself...More",NA,4
Every ounce Key West!,This is a bar with live music and food. We went there because we were hungry and thirsty as it was a hot day. We ordered a few appetizers (nachos and chicken wings)  to share and had drinks. Everything was delicious. The live entertainment was...More,NA,4.5
Lunch,Sloppy Joe's is a must on every visit to Key West. Good food and fun atmosphere. Live music even during the day.,NA,3
Tourist Trap but in a good way,"What can you say that hasn't been said. It is against the law to visit Duval Street and not have a drink in this place. Inside it is about what you would expect, big and loud and busy. We made it a regular stop on...More",NA,5
Had to go,"This is a must go place in Key West. The Havana nachos were fantastic and the drinks were not weak. Good times, good music and good food. Not disappointed.",NA,4.5
Lively & Entertaining,"The place was packed with standing-room only due to the Hemingway Look Alike festivities. Great event with several charities benefitting. Bartenders were swamped, but were up to the task with prompt service. Will do it again!!",NA,4
"A ""Must Go To Place"" in Key West","I love Sloppy Joe's!  I have been to Key West numerous times and this restaurant is my ""Must Go To Place"".  I had the sloppy joe sandwich along with a wonderful rum punch. Amazing. The restaurant was very busy but I managed to find a...More",NA,4.5
Best bar in town,"What an atmosphere! Live music, drinks, burgers, friendly staff. We were so lucky to get a place at the bar. It was packed!",NA,4.5
Great fun in Key West.,"Sloppy Joes should always be visited on any trip to Key West. The food is really good bar-food and sandwiches. Lots of good beers on tap, and live music. It can get quite crowded at times, but worth a visit for a drink at Ernest...More",NA,4.5
Fun Times,"Had a good time at this bar. They have good food, spirits and music. Can be a busy place, but that is not uncommon for Key West",NA,4.5
If the cruise ships are in... good luck finding a seat,"I've been here several time in years gone by; however, since the cruise lines have come to Key West, this place is a huge tourist hangout.  After finally getting a table, no one ever came by to take an order.  We had to go to...More",NA,4.5
Great Bar,This place is great. Good atmosphere wonderful service and the prices are not to bad. They have live music and a great t-shirt selection if u like collecting that stuff.,NA,4
"Great band, a must stop ","Sloppy Joes is one of those must stop places to grab a beer and say you were there. Awesome band, good food. Only thing was it was packed and service was a little slow, still a must see",NA,4.5
Key West Tradition,"If you like a great atmosphere, cold beverages, good food, and entertainment this is a must.
Service was great also!!!!",NA,3
Been there now,We've been to Key West several times but never went to Sloppy's. Well I've been there and done that but never again. The food is usual bar food for KW nothing special. I guess the nachos were ok  but certainly not worth a trip back.,NA,5
Fun Times great Vibe,look your not going here for fine dining but the cool real vibe great music and awesome drinks make up for that. a Key West institution this placed may have served Hemmingway but definitely has served many cool and interesting characters over the years. go...More,NA,4.5
Mojito Time,Dropped in here for beer and mojito before sunset - a must visit for everyone coming to Key West - live music was great and the mojito was strong,NA,4
Never Disappoints,Stop here to cool off and have an adult beverage and lunch or appetizers. Had the smoked fish dip( delish). Had young ones and all had fun with the atmosphere and music.,NA,4.5
Must go..food not great,So I've heard about this place for years being a native Floridian I've seen the T-shirt so obviously I had to go I went earlier in the day and had a custom beer of theirs it was nice and cold it was very hot outside...More,NA,4.5
Perfect Rum runner ,"Captain Rum runner is the best ever in key west and maybe Florida... Dennis was our server at the bar and he was very attentive and friendly and fast.  

The music is on point... loving the vibe... should have stop here first. A must for...More",NA,4.5
Save your dollars,"OK been there done that didn't buy the t-shirt. We must have caught the waitress on a bad day, she could barely smile let alone give us the time of day. It's a bar, the food is mediocre too much gloopy sauce. Rum runner cocktail...More",NA,4.5
Sloppy Joe Bar foods and walk in seating for 8...,"We traveled to Key West for 4th of July weekend. We went to Sloppy Joe's around 3pm on Saturday afternoon. We sat right away, the waitress helped us throw a few high top tables together near the stage. There was some music going, which was...More",NA,4.5
A Key West must do,"Obviously the Hemingway hype is there, but it is also a cool bar in its own right. Live music, great Margaritas, nice bar food - would recommend the Sloppy Joe nachos.",NA,4
Can't bring my drink in? What??,"So, we were out on a Sunday night, had just left Caroline's where we had got a drink and wanted to go listen to some music and check out the popular Sloppy Joe's. Well, I guess there are young people at night more so then...More",NA,4.5
"Well, it's been around, it's a historical place. It's a must.","But, if not, I'd say; food is underperforming, no spices, served in plastic containers with plastic. Drinks are strange tasting and unimpressive. Overall: a tourist must do but not worth while if going for the food/drinks. Waiter was prompt and nice but food servant hated...More",NA,3
"Come for the brand, not for the food...","So we stopped in to Sloppy Joe's because everyone kept saying it was ""the bar"" in Key West. The service was great, the drinks were reasonably priced, and the food was just average. I found their famous sloppy joe meat to be a little too...More",NA,5
popular funspot,Sloppy Joes is one of the most popular bars in Key West. they always have good music and it is a fun environment. The food is just OK but what it lacks in the food makes up for in the overall experience of Duval Street.,NA,4.5
Always a Good Time,"Every time we come to Key West we have to stop into Sloppy Joe's for lunch and a blended drink. Fresh Peel and Eat Key West Pink Shrimp, Blue Crab cake sandwich, amazing as always. Family friendly until 10pm then it is adults only as...More",NA,4
Bar,"This place was awesome. The bar maid was from the Iowa, she was great and very upbeat. The drinks was worth the money . She knew the words of the live band that was playing. Her energy alone was enough to make you feel at...More",NA,4.5
Lunch time,"It's a sloppy joe.  I eat them.  They are good.  This place does them right...which I'd hope so since they originated it?
Wait staff was alright.  Smiles.  But they seemed distracted. My sloppy joe hit the spot!",NA,4.5
Sloppy Joe's great as always,Got a taxi to deliver us here drank all night danced all night loved it as always took a taxi back home slept half of the following day always worth it,NA,4.5
Sloppy Joes !,"It's what it says on label, but great atmosphere!
You must try a Sloppy Joes my friend told me, and I did it definitely is sloppy so be warned as you will probably be wearing some of it tyne time you leave.

It's one of...More",NA,4.5
Good music and good drinks ,This was the bar that I found I frequented the most during my visit. One night they had a cover band which I adored. I danced the entire night. Drinks are strong and they offer an array of specialty shots...pineapple upside down cake shot was...More,NA,4.5
Hasn't changed,Always a nice stop for a cold beer and great music. Great service even when its crowded. Food looks great.,NA,4
Key West Trip,"It is seat yourself, so watch closely for a table of people to leave and move in.  It is crowded and loud.  My husband had the Sloppy Joe sandwich and I had the Sloppy Joe fries.  The food was ok, the live music was great.",NA,4.5
"The ""Wetherspoons"" of Key West","So this is one of those advertised ""must go to"" bars on Key West and it's true: great location, live music and food (I had spicy chicken wraps that were served quickly and tasted great) BUT it is quite large and a bit impersonal -...More",NA,3
Good atmosphere ,What is a trip to Key West without a stop at Sloppy Joes? The drinks were good and not as expensive as other places in the Keys. Good atmosphere with live music.,NA,5
Get Sloppy,"Ate here twice during our visit. Easy seating, you just find a table. Great fast service while you enjoy the live band. You have to try the sloppy it's so good.",NA,4.5
Classic...gotta go!!!,"You must check out the famous Sloppy Joe's Restaurant. There are live-streaming cameras so you can wave at loved ones back home! So fun! Great bands, food, service! We had a great time! Consistently awesome!!! I don't feel I'm in Key West until I've ordered...More",NA,4
Great entertainment! Everyone was so friendly. Bartenders were awesome!!  Appetizers were good.,This place was recommended; we stopped for drinks and they had an awesome band playing. Everyone was very nice. Bartenders were awesome! Easy to strike up conversations with everyone there. Would definitely visit again!,NA,4.5
Popular bar ,Nice bar where there always is music and usually a lot of people. Nice place for adults who like live music and (usually) crowded bar.,NA,4.5
A must,"Not the original, but as close as you can get.  The original Sloppy Joe's is two blocks down. The owner of that building raised the rent $1 a week, Sloppy Joe got mad, told the patrons to take their drinks and stools and move to...More",NA,4.5
Fun place with friendly bartenders,"It was fun sitting at the small bar on the side and talking with the bartenders and locals.  The fish dip was very good, and so was my mojito.  A fun place.",NA,4.5
Great place for adult beverages and great times,Went there several afternoons while in Key West.  Cold adult beverages flow great wait staff and average prices for the Keys.  This is one place that needs to be in your pub crawl!  Bar type food and fast efficient service.,NA,4.5
Always good ,"They've been around a long time for a reason. Good food, good service, great love music. Family friendly (in the daytime). A little loud for kiddies, but we were ok.",NA,4
So much fun,We stopped in here because it's an institution and you have to. We ordered drinks and the fish dip recommended by the waitress. It was so hot outside so it was great to come in and cool off. My drink was a pina colada/strawberry daiquiri...More,NA,4.5
"Fun place for music, drinks and food",Expect a packed house when the cruise ships come in. We were lucky to get a table for 8. Waitress was super friendly and helpful. Honky tonk piano player makes for a fun atmosphere. Menu provided usual bar food. The Sloppy Joe sandwich wasn't that...More,NA,3
Key West Trip,"Of course you need to visit this place, its Iconic!! They had great music and the food was great for lunch! It right off Duval St so its not far from all the other attractions and shops.",NA,5
"Lunch at Sloppy Joe's, Key West, Fl","We had lunch at usually reliable Sloppy Joe's, for their signature Sloppy Joe sandwich. Unfortunately, the recipe has changed and the amount of meat has diminished such that I can't recommend the meal anymore. We did complain and management did the right thing by not...More",NA,4.5
Weekend at key west,Visited key west for the weekend went to a few bars in Duval street sloppy joes being one to say this street on a Saturday night is full on is an understatement all the bars seem to have some sort of entertainment going on so...More,NA,4
Night out,Second time in key west and had to visit Sloppy Joes again fantastic atmosphere great live music and good mojitos! Well worth a visit,NA,4.5
Highly Recommend ,5 Stars all around for this iconic landmark in Key West. The service is upstanding and the atmosphere is fun and engaging. We went there 2 times and the drinks are made very well and the food is great and well presented. I am not...More,NA,4.5
Bad service,Went on the evening of July 5th based on recommendations. The service was poor. The waitress was so rushed and not friendly at all. Definitely not the vibe I was looking for. The conch fritters were good.   Had to stop different waitresses to ask for...More,NA,4.5
"Fun, Inviting Atmosphere",Our waitress was very nice. The food and the drinks came out quickly. The waitress came past our table several times to check on us and see if we needed refills or anything. The quesadilla was very tasty. I ordered mine with just cheese and...More,NA,4.5
"Fun, funky vibe","Our sloppy joes were delish, the music was great and we liked it. They need sweet tea to make it the best.",NA,4.5
Kick back and laugh,"The love music entertainment was warm, southern, snarky and humorous. True musical talent on stage and great heavy liquor pours. Food was quick too even with a packed house.",NA,4
Sloppy Joe's,"This bar is so nostalgic and that's what makes it so cool. It could use some updating but then again it would change the place.. Always entertainment and plenty of cold beer.. 
Have fun.",NA,4.5
Fun place to stop for a drink ,"Stopped here to get out of the heat. Service was great , drinks were spot on. We didn't eat anything but the food that passed by looked appetizing.  Nice lively place to relax & enjoy the spirit of Key West",NA,3
Quick trip inside,We couldn't go to Key West and not get pictures of Sloppy Joe's so the kids and I waited outside while my husband zipped inside with the Go-pro to film the place.  The patrons were having a good time and were friendly and waving at...More,NA,5
4th of July getaway,"After spending time renting jet ski's at Sunset Watersports, we rode our bikes for a nice lunch of sloppy joe's (of course) and a couple of adult frozen beverages. Music was good, food and drinks were good. Then off for more bike riding.",NA,4.5
Very Popular Hemingway Haunt,"Sloppy Joe's is reputed to be a favorite bar of Ernest Hemingway when he lived here and wrote 8 books. The bar has since moved from its original location across the street, but it is still gigantic, dimly lit, cavernous, with lots of seating and...More",NA,4
Fun!,"Sloppy Joe's is an old Key West staple that has been around forever. The drinks are always good, the food is good, and the bands play a variety of music. First come first served is the rule but many tables are available.",NA,4.5
Surprisingly Enjoyable Meal,"We have always passed by this establishment, and never got the urge to try.  So glad we did.  It is 'open', but once you go inside there is air conditioning, which makes you immediately enjoy the environment.  We had live entertainment which was very enjoyable,...More",NA,4.5
Sloppy Joe anyone?,Brace yourself for the prices ! Oh the food.. sloppy joes all around at our table with a side of sloppy fries. It was good. The sloppy joes were big and filling as well as messy. Music was playing and it was an enjoyable experience....More,NA,4.5
Great mid-afternoon stop!,Great place to visit for a mid-afternoon refresher stop!  The history and atmosphere are legendary Key West!  The staff is personable and friendly as well as knowledgeable about the area. We received several good travel tips!  The sloppy fries are wonderful and I highly recommend...More,NA,4.5
Best piña colada ever ,The waitress asked me if I wanted extra rum in my drink. The girl sat next to me said yes. Next time here I won't hesitate. Soooo good. Must visit,NA,4.5
Another Fun Trip,Came back here and enjoyed the fun.  Same two guys playing live music from 2 years ago where there again.  Had the smoked fish dip again. Still a great stop.,NA,4
Thank goodness for AC,We stopped in to Sloppy Joes for the obligatory beer while in KeyWest.  We stayed longer than planned because the bartender was so friendly and the AC was on.  Definitely a must see!!,NA,4.5
Ernest drank here ,Along with every tourist and local.  It's  famous.  Great atmosphere.  Always packed.  Good music decent bar food. Key west is sloppy Joes on Duvall.,NA,3
Must Do!,We stopped here for lunch after walking Duvall street a little and it is such a fun place they had live music and the food was excellent we had the fish sandwich and onion rings. we also had pina coladas that were very good Its...More,NA,5
Vacation! ,Historic and a must for everyone visiting the shore! Enjoyed the environment and music! Has not changed in 30 plus years since the last visit!,NA,4.5
Good live entertainment ,This is on famous Duval Street where many bars/restaurants/shops are located. Live band was playing & they were good. Service is good. Had steamed 1 lb shrimp which we really enjoyed along with fried calamari & conch fritters which was also good.,NA,4
Cool if you come to party in the evening,"Big bar with live concert in the evening, so partytime place. We were here only in the evening, the music was good, but it's crowded.",NA,4.5
A very busy bar,"A very busy bar. If you are looking for fun and good drinks, this will be your favorite bar in the city.",NA,4.5
Traditional Fun,"Another never gets old!  A lot of fun listening to great music from the live band. With nine family and friends together, makes for a great time!",NA,4.5
